out,in,benefits_Bs_2014,benefits_USD_2014
RE,LG1,21276811.72,233939.656074766
RE,LG2,16744982.41,184111.956129742
RE,LG2,10046989.44,110467.173611875
RE,LG3,3354249.226,36880.1454205607
RE,LG4,12096000,132996.151731721
RE,LG5,4838400,53198.4606926883
RE,LG5,4838400,53198.4606926883
RE,LG6,2016000,22166.0252886201
RE,LG7,5590415.376,61466.9090269379
RE,LG8,5590415.376,61466.9090269379
RE,LG9,7363978.339,80967.3264321055
RE,LG10,982711.2004,10804.9609719626
SU,LG11,5123003.788,56327.6942056075
SU,LG11,2049201.515,22531.077680044
RE,LG11,2049201.515,22531.077680044
SU,LG12,485827.216,5341.69561297416
SU,LG12,97165.4432,1068.33912259483
RE,LG12,97165.4432,1068.33912259483
RE,LG13,1368440.255,15046.0720725673
RE,LG14,1215841.061,13368.2359648158
SU,LG15,4800612.368,52782.9837053326
SU,LG15,1600204.123,17594.3279054425
RE,LG15,1600204.123,17594.3279054425
SU,LG16,1759366.482,19344.3263551402
SU,LG16,1055619.889,11606.5958108851
RE,LG17,1609196.445,17693.19895547
SU,LG17,643678.5779,7077.27958108851
RE,LG18,45766.482,503.204859813084
SU,LG18,27459.8892,301.92291588785
RE,LG19,24192000,265992.303463441
RE,LG20,15120000,166245.189664651
SU,LG21,244390.608,2687.08749862562
SU,LG21,162927.072,1791.39166575041
RE,LG22,2721600,29924.1341396372
SU,LG22,1632960,17954.4804837823
RE,LG22,1088640,11969.6536558549
RE,LG23,2532270.132,27842.4423529412
SU,LG23,1519362.079,16705.4654095657
RE,LG23,1012908.053,11136.9769433755
RE,LG24,3047327.64,33505.5265530511
SU,LG24,1828396.584,20103.3159318307
RE,LG25,4838400,53198.4606926883
RE,LG26,1821354.965,20025.8929631666
RE,LG26,1092812.979,12015.5357778999
SU,LG26,364270.993,4005.17859263332
SU,LG27,4701124.613,51689.1106432106
SU,LG27,1410337.384,15506.7331940627
RE,LG27,470112.4613,5168.91106432106
RE,LG28,13104000,144079.164376031
SU,LG28,7862400,86447.4986256185
SU,LG28,2620800,28815.8328752062
RE,LG28,2620800,28815.8328752062
RE,LG29,17136000,188411.214953271
SU,LG30,2776005.859,30522.3294007697
SU,LG30,1110402.344,12208.9317647059
RE,LG31,581132.964,6389.58728971963
RE,LG32,22982400,252692.688290269
RE,LG33,1558415.376,17134.8584496976
RE,LG33,467524.6128,5140.45753490929
SU,LG33,155841.5376,1713.48584496976
RE,LG34,3642709.93,40051.7859263332
RE,LG35,5253870.132,57766.5764925783
SU,LG35,3152322.079,34659.945893348
RE,LG35,2101548.053,23106.6305992303
SU,LG36,2448000,26915.8878504673
SU,LG36,1468800,16149.5327102804
RE,LG36,979200,10766.3551401869
RE,LG37,3159578.89,34739.7349092908
RE,LG38,1336346.256,14693.1968774052
SU,LG39,5012887.656,55116.9615832875
SU,LG39,3007732.594,33070.1769543705
SU,LG39,1503866.297,16535.0884771853
RE,LG40,3132811.718,34445.4284551952
RE,LG41,7560000,83122.5948323255
SU,LG41,7560000,83122.5948323255
RE,LG42,3628800,39898.8455195162
SU,LG42,3628800,39898.8455195162
RE,LG43,2419200,26599.2303463441
SU,LG43,2419200,26599.2303463441
RE,LG44,9072000,99747.1137987905
SU,LG44,9072000,99747.1137987905
PV,DO,130962978.7,1439944.79054426
PV,DO,36378605.2,399984.664101154
PV,DO,14551442.08,159993.865640462
DS,LG1,2693750.774,29617.9304452996
DS,LG2,4489584.624,49363.2174161627
DS,LG3,2693750.774,29617.9304452996
DS,LG7,4489584.624,49363.2174161627
DS,LG8,4489584.624,49363.2174161627
DS,LG9,2693750.774,29617.9304452996
DS,LG10,567324.9792,6237.76777570093
DS,LG11,8979169.248,98726.4348323255
DS,LG12,22411422.43,246414.76008796
DS,LG13,3262118.63,35867.1647058823
DS,LG14,1090327.694,11988.2099395272
DS,LG15,5387501.549,59235.8609015943
DS,LG16,2180655.389,23976.4198900495
